comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgyQ442LTAqvESe5MeB4AaABAg,@SamuelGomes-h5b,UgyQ442LTAqvESe5MeB4AaABAg.ARX8hhTSwzuARtxlKSst25,@Lilian-w9f4j,Pincher onde ?,0,2026-01-12T23:23:11Z
UgxNRGMuqUoALIHpOu54AaABAg,@carloshenriquesouza8681,UgxNRGMuqUoALIHpOu54AaABAg.ARX78wqawdeARXPmBDibNM,@ômega-900,Eu odeio pinscher o cachorro já vem com a configuração Satanás instalado de fábrica,0,2026-01-03T19:54:56Z
UgyS-IRfDGHpnIQtWSJ4AaABAg,@Manugamerbey,UgyS-IRfDGHpnIQtWSJ4AaABAg.ARWuPIY5aAfAReMHuYfDhf,@gabrielexpedito5197,😅😂😂,4,2026-01-06T21:58:22Z
UgyS-IRfDGHpnIQtWSJ4AaABAg,@Manugamerbey,UgyS-IRfDGHpnIQtWSJ4AaABAg.ARWuPIY5aAfAReMy88m4-l,@Manugamerbey,​@gabrielexpedito5197 😅,4,2026-01-06T22:04:16Z
UgyS-IRfDGHpnIQtWSJ4AaABAg,@Manugamerbey,UgyS-IRfDGHpnIQtWSJ4AaABAg.ARWuPIY5aAfARgVPbEEER_,@LaoaneCidral-t8o3f,😂😂😂😂😂,5,2026-01-07T17:56:33Z
UgyS-IRfDGHpnIQtWSJ4AaABAg,@Manugamerbey,UgyS-IRfDGHpnIQtWSJ4AaABAg.ARWuPIY5aAfARgYXdIPsWT,@Manugamerbey,​eusouorabisco Eddie?,3,2026-01-07T18:23:51Z
UgyS-IRfDGHpnIQtWSJ4AaABAg,@Manugamerbey,UgyS-IRfDGHpnIQtWSJ4AaABAg.ARWuPIY5aAfARgoHBSYl9Z,@Manugamerbey,"​eusouorabisco Eddie, o menino de St. Pq ele tocou guitarra no mundo invertido e morreu. N é ele? Sei lá, só pensei nele quando vi os emojis.",3,2026-01-07T20:50:10Z
Ugxb5O0-VTM2iEhLUbp4AaABAg,@nikkodead,Ugxb5O0-VTM2iEhLUbp4AaABAg.ARWssJtL5bNARXIYODktnX,@pauloramos6841,Coitado deles mano,0,2026-01-03T18:51:45Z
Ugza-0YJ_NCACp6Pzm14AaABAg,@Odibitencourt,Ugza-0YJ_NCACp6Pzm14AaABAg.ARWsgQDbEm8ARXog1ssWFK,@SamuelSantos-zt5rf,Não entendi,4,2026-01-03T23:41:17Z
Ugza-0YJ_NCACp6Pzm14AaABAg,@Odibitencourt,Ugza-0YJ_NCACp6Pzm14AaABAg.ARWsgQDbEm8ARXs3BZtwSb,@Mdgutoooo,"@SamuelSantos-zt5rf  E QUE EM VEZ DO CARA FALAR CAPIVARA ELE FALOU ISSO
AH SO TO DIGITANDO MAIUSCULO PQ TO NO PC",10,2026-01-04T00:10:48Z
Ugza-0YJ_NCACp6Pzm14AaABAg,@Odibitencourt,Ugza-0YJ_NCACp6Pzm14AaABAg.ARWsgQDbEm8ARXwfCWqxu-,@RaimundoBorges-y9e,​@Mdgutooooé só aperta capslock ue,2,2026-01-04T00:51:04Z
Ugza-0YJ_NCACp6Pzm14AaABAg,@Odibitencourt,Ugza-0YJ_NCACp6Pzm14AaABAg.ARWsgQDbEm8ARY5yXQA6UQ,@Cisos3339,​@RaimundoBorges-y9e CAPSLOCK,0,2026-01-04T02:21:06Z
Ugza-0YJ_NCACp6Pzm14AaABAg,@Odibitencourt,Ugza-0YJ_NCACp6Pzm14AaABAg.ARWsgQDbEm8ARYMRyZqEXE,@mmnicemewdawn,@Mdgutoooo CAPSLOCK EXISTE AMIGO! VOCÊ PARECE QUE TA TENTANDO OFENDER UM POUCO QUANDO TA COM CAPS LOCK ATIVADO.,1,2026-01-04T04:45:03Z
Ugx-8OR5KMdvplsQTQR4AaABAg,@jeanalmeida2310,Ugx-8OR5KMdvplsQTQR4AaABAg.ARWrD460H4XARWrajuSeSQ,@MuriloSilveira-do9xy,Dá-me un 👿💀☠️👹👺,4,2026-01-03T14:47:32Z
Ugx-8OR5KMdvplsQTQR4AaABAg,@jeanalmeida2310,Ugx-8OR5KMdvplsQTQR4AaABAg.ARWrD460H4XARX4g1u2fZO,@Zarah_Dart,Mal sabe você que o Cerberus é na verdade um pinsher de três cabeça,13,2026-01-03T16:50:35Z
Ugx-8OR5KMdvplsQTQR4AaABAg,@jeanalmeida2310,Ugx-8OR5KMdvplsQTQR4AaABAg.ARWrD460H4XARXKGI5R18h,@gamidubs,​@Zarah_Dartou ele e mais docio que um Pincher,5,2026-01-03T19:06:45Z
Ugx-8OR5KMdvplsQTQR4AaABAg,@jeanalmeida2310,Ugx-8OR5KMdvplsQTQR4AaABAg.ARWrD460H4XARh_OhIOiNU,@soviet_soyuz,"Cerberus é mais calmo, na verdade o Cerberus protege um desses que tá dentro dos portões",0,2026-01-08T03:59:21Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARX6CWATpVq,@JadsonPereira-r9n,O primeiro é o tremeliques só que no modo fúria kakskakakks,2,2026-01-03T17:03:54Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARXZTp_0H1V,@ana_Clara-t7h,"Eu tenho uma, mas o primeiro é engraçado kkkkk",11,2026-01-03T21:19:40Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARXr-Pv1I69,@AlanaSantos-k6g,Obrigada foi esse vídeo que eu pedir 😊,1,2026-01-04T00:01:32Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARY2ZUnWfua,@dalianarodrigues7686,Cacaca😂😂😂😂😂😔🤣🤣🤣,1,2026-01-04T01:51:19Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARY2yeo3b2X,@anya_1007,De todos mas o meu foi,1,2026-01-04T01:54:54Z
Ugzqr7sUcMYkhVtclhN4AaABAg,@EDITS-OFC-TTKYT,Ugzqr7sUcMYkhVtclhN4AaABAg.ARWmdgtn25MARY4wI6eAXg,@CarolineCoutinhoRodrigues,Ficou é enc4petad0,0,2026-01-04T02:12:03Z
Ugzqr7sUcMYkhVtclhN4AaABAg,@EDITS-OFC-TTKYT,Ugzqr7sUcMYkhVtclhN4AaABAg.ARWmdgtn25MASB170bwESr,@AthosFranklin,Se Fosse Só Pelo Primeiro,0,2026-01-19T23:47:34Z
