author,text,like_count,published_at
@VaniaPereira-j8k,https://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Zhttps://youtube.com/shorts/Rw2yXFrbXEk?si=evn8Tu7udnuO3M_Z,0,2026-02-12T02:18:22Z
@LucasCapelin,pelo jeito seu amigo consegue atestado junto com o anjo dele,0,2026-02-12T01:10:49Z
@AnthonyLemesdaSilva,Se o braço tá assim imagina o pinto mano ;-; deve ter arrancado só pode,0,2026-02-12T01:10:26Z
@aliceeseusamigos6771,O cachorro:ELE FOI PEGO PELO O VECN-😢😢😢😮😮😮😮😮😮😮,0,2026-02-12T00:36:17Z
@darkzinho_TTRar,Eu não quero ir para o inferno então eu não vou rir 🫠,0,2026-02-11T23:03:53Z
@CeciliInocencio,A cara do cachorro oque é isso um humano não é,0,2026-02-11T23:00:52Z
@manuellasalles2016,😮kk,0,2026-02-11T22:01:30Z
@bokulaktar-e8e,The content is top notch I really appreciate the effort.,0,2026-02-11T21:22:55Z
@SuzyGomes-j5h,N tem graça,0,2026-02-11T21:19:04Z
@marcosrvasconcelos6287,oloko,0,2026-02-11T19:41:02Z
@luizfernando-vlog,Vc ficou assim mesmo?,0,2026-02-11T18:07:02Z
@ellizaelliz4079,😮,0,2026-02-11T14:56:26Z
@gigi_joga,É realmente a mesma pessoa???,0,2026-02-11T13:44:48Z
@Thalyta-j3l,O braço deleee😱😱😱,0,2026-02-11T05:28:54Z
@LucasDaviMille,O doginho um nova especie?,0,2026-02-11T02:51:42Z
@MartieleRodriguesRodrigues,Amo essa música ❤😂,0,2026-02-11T02:29:07Z
@Giovanna-wft,Que pecado eu ri quando ele ando mds;-;,0,2026-02-11T01:18:00Z
@luceliamendes5459,"Eu acho que o meu n gosta de mim sabe, pq  eu já voei de bike, e cai de cara no bueiro no ano novo e tenho o mindinho gordo até hj kkk",0,2026-02-11T00:49:35Z
@lelemelgames8073,O bom é que dá pra coçar as costas sem esforço ♥️,0,2026-02-11T00:38:14Z
@GebeOliveira-l1f,😂😂😂😂😂😂😂😂,0,2026-02-11T00:06:58Z
@GabrielaMadeira-u7j,O cachorro: que porra e essa,0,2026-02-10T23:44:03Z
@liliansantos8724,Tô chocada até agora será que vai consertar o braço ;---; ;--;,0,2026-02-10T23:37:38Z
@DeliverydaKelly,Ele faz isso de propósito 😒😒🤨,0,2026-02-10T23:29:29Z
@Gangle_23,"Esse anjo aí num pegou atestado não, se demitiu logo.
...
(E se você estiver se perguntando se é pra rir, sei lá, talvez? Se tu quiser rir tu ri)",0,2026-02-10T23:27:14Z
@AgnesSilva-d1y,Era pra rir?😐,0,2026-02-10T23:26:01Z
@Moonflower_Confort_ship,"O cachorro: ""essa coisa ainda consegue andar?""",0,2026-02-10T23:02:17Z
@AKShortsBr,Não foi uma boa ideia kkkk,0,2026-02-10T22:11:25Z
@Gi_lilys,Até o cachorro olhou torto 😂kkkkkk,0,2026-02-10T21:42:57Z
@user-zs4se6qs3q,Mais um pouco virava do avesso,0,2026-02-10T21:09:02Z
@Josue244_tudonossonadadeles,Coitado dele 😐😂,0,2026-02-10T19:28:20Z
@helenasilvasilva8168,MANO FALA QUE ISSO E IA!,0,2026-02-10T17:33:27Z
@vivianefonseca8425,𝒆𝒍𝒆 𝒑𝒂𝒓𝒆𝒄𝒆𝒏𝒅𝒐 𝒐 𝒉𝒐𝒎𝒆𝒏 𝒕𝒐𝒓𝒕𝒐 𝑲𝑨𝑲𝑨𝑲𝑨𝑲𝑨𝑨𝑲𝑨𝑲𝑨𝑲𝑲𝑲𝑨𝑲𝑨𝑲,0,2026-02-10T15:43:12Z
@PyetraDossantos-v7e,Piscina ter morrido😊😊😊😊,0,2026-02-10T15:39:26Z
@Elisson-ge3il,Se está vivo é porque ele protegeu,0,2026-02-10T15:04:14Z
@manoelpereira4321,😂😂😂,0,2026-02-10T14:50:50Z
@LeuzieneDeSousaAmaral,O cachorro que viagem é assa mano😂😂😂,0,2026-02-10T13:59:55Z
@anaflaviarodriguesdasilva8631,Nooo kkk,0,2026-02-10T13:16:39Z
@Blyuder,Nova espécie descoberta...,0,2026-02-10T12:45:26Z
@tiagotheodoro-m6i3c,Me fala que e IA !!??,0,2026-02-10T12:19:20Z
